competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,1,1,"[[2048, 2048, 2048, 2048, 2048], [512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024]]",0.13070190842675258,1935.0574333183079,0.4866211867369893
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,2,2,"[[64], [256, 256, 256, 256, 256], [64, 64], [2048, 2048], [2048, 2048]]",0.12370666842619221,2369.658438920382,0.49053702645132957
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,3,3,"[[128], [512, 512, 512, 512, 512], [512], [256], [64, 64, 64, 64]]",0.050818361495978306,16812.34621760693,0.5313389041518076
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,4,4,"[[512, 512], [512, 512, 512, 512], [128], [128, 128], [256]]",0.03711751043621051,16290.737220959412,0.5390084532588865
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,5,5,"[[512, 512, 512, 512, 512], [256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.12299486800193288,3856.174536495888,0.490935482597191
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,6,6,"[[1024], [1024, 1024], [256, 256], [64, 64, 64], [128, 128]]",0.06420290397173008,10034.209813668447,0.5238464202655329
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,7,7,"[[128, 128], [512, 512, 512, 512], [512, 512, 512], [512], [128, 128, 128, 128, 128]]",0.06803577101329941,14416.432591532248,0.5217008336981012
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,8,8,"[[1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.12928918876746553,2016.2536641862912,0.4874120078877464
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,9,9,"[[1024], [256, 256, 256, 256], [128], [512, 512], [2048]]",0.06853948777890866,9692.15645458834,0.5214188599394605
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,10,10,"[[128], [1024, 1024, 1024], [64, 64, 64], [256, 256, 256, 256], [2048, 2048, 2048]]",0.12019162956670945,5011.530976731664,0.49250469714773304
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,11,11,"[[2048], [64, 64], [256, 256, 256], [256, 256, 256, 256], [256, 256, 256, 256]]",0.05581960945207751,15732.806887335968,0.5285392739223677
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,12,12,"[[256, 256], [512, 512, 512, 512], [256, 256, 256, 256], [1024, 1024, 1024, 1024], [256, 256]]",0.11960803667102203,4590.353201292093,0.49283138447193586
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,13,13,"[[128, 128, 128, 128], [128, 128, 128], [256, 256, 256, 256, 256], [64, 64, 64, 64], [256, 256, 256, 256]]",0.03515618329273846,33578.465909365565,0.5401063773788032
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,14,14,"[[64, 64, 64, 64], [64], [256, 256, 256, 256], [64, 64, 64, 64], [64, 64, 64, 64, 64]]",0.017311867369458916,42339.57420278378,0.5500953814675857
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,15,15,"[[2048], [512, 512, 512], [512, 512, 512], [64], [512]]",0.0815187980407552,9791.26096028983,0.5141532195062499
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,16,16,"[[256], [64, 64, 64], [512, 512, 512, 512, 512], [2048, 2048, 2048, 2048, 2048], [1024]]",0.1272867927528999,1173.3914197296797,0.4885329218002133
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,17,17,"[[2048, 2048, 2048, 2048], [1024, 1024, 1024, 1024], [2048, 2048], [64, 64, 64, 64], [64]]",0.13289641088226292,1954.301810310201,0.4853927342653348
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,18,18,"[[64, 64], [128, 128, 128, 128, 128], [128, 128, 128, 128], [64], [512, 512, 512, 512, 512]]",0.028418341357576295,28336.30758914754,0.543878129175245
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,19,19,"[[128, 128, 128, 128], [64], [256, 256], [512], [128, 128]]",0.016104137656400664,31057.014721196974,0.5507714520490388
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,20,20,"[[64, 64, 64, 64, 64], [512], [512, 512, 512], [1024, 1024, 1024], [2048, 2048, 2048, 2048]]",0.12356033593228029,2799.913356337067,0.49061894138078344
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,1,1,"[[1024, 1024, 1024, 1024], [128], [2048, 2048, 2048, 2048], [64], [1024, 1024]]",0.12249705968790958,3722.022471295922,0.4912141488854134
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,2,2,"[[128, 128, 128, 128, 128], [1024, 1024, 1024], [1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024]]",0.12459071623210341,2814.5996098815026,0.4900421485761623
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,3,3,"[[1024, 1024, 1024], [128, 128], [2048], [128, 128], [128, 128]]",0.10530228021114016,10504.08017809103,0.5008395513518139
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,4,4,"[[1024], [64, 64], [2048], [256, 256, 256, 256], [64, 64]]",0.0726700727538774,16035.976054990062,0.519106614943271
